author,published_at,updated_at,like_count,text,video_id
@tukiraniran373,2020-10-10T14:55:56Z,2020-10-10T14:55:56Z,0,"Saya rakyat kecil dan sya buruh serabutan sy punya kelurga yg harus di kasih makan.dan orang seperti sy banyak sampe jutan.sy yakin rakyat kecil seperti sy pasti merasakan  apa yg sy rasakan.ga ada proyek ga ada lapangan pekerjan.otomatis klo ga kerja ga bisa ngasih makan anak isteri.jadi tolong pikirkan juga yang ingin kerja tapi belum bisa kerja.jangan egois.



 indonesia",AgKEvHfdUpQ
@brumbrum331,2020-10-10T14:34:28Z,2020-10-10T14:34:28Z,2,"Sukur2 kalian udah tau sendiri dari media, pemerintah lagi silat dengan jurus HOAX",AgKEvHfdUpQ
@thebandit4312,2020-10-10T14:18:26Z,2020-10-10T14:18:26Z,0,Kebanyakan uu Indonesia ini.. Bubar kan wes dpr.. Kebanyakan uu gk jelas,AgKEvHfdUpQ
@mudlori8634,2020-10-10T13:55:36Z,2020-10-10T13:55:36Z,5,"Bikin UU cipta kerja buat DPR, pemerintah,PNS juga, biar negara TDK mengalami kerugian yg berkepanjangan!!!😁😁😁",AgKEvHfdUpQ
@girikaelasa774,2020-10-10T13:50:50Z,2020-10-10T13:50:50Z,0,Yg pro kaum kapitalis ya..???,AgKEvHfdUpQ
@budiono743,2020-10-10T13:41:17Z,2020-10-10T13:41:17Z,0,"saya sudah nonton klarifikasi mentri ketenagakerjaan di tv one kemaren ,banyak yang nga sama dengan pemaparan CNBC ini tolong cermati lagi",AgKEvHfdUpQ
@heilvamous972,2020-10-10T12:27:24Z,2020-10-10T12:27:24Z,0,Duh pasti ada yg malu ketahuan bego...,AgKEvHfdUpQ
@stefayuwiko,2020-10-10T11:58:14Z,2020-10-10T11:58:14Z,0,Gimana menurut kalian tentang pendapat yang ini??? https://youtu.be/ElhKhnoZuk4,AgKEvHfdUpQ
@suryosupraptono727,2020-10-10T11:46:24Z,2020-10-10T11:46:24Z,0,"NAH KAN TERBUKTI GEGARA YANG MEMBEDAH BUKAN AHLINYA, MAKA SALAH PERSEPSI TAK TERHINDARKAN DENGAN TERJADINYA DEMO DAN KERUSUHAN. TERUS DIMANA TANGGUNG JAWAB CNN DAN PENYIARNYA ????",AgKEvHfdUpQ
@nasdin2007,2020-10-10T11:40:17Z,2020-10-10T11:40:17Z,0,Akar masalahnya adalah ketidakmampuan negara mengkomunikasikan isi UU Omni Bus Law kepada masyarakat bawah secara baik.,AgKEvHfdUpQ
@gaplekchannel6503,2020-10-10T11:09:28Z,2020-10-10T11:09:28Z,0,"Cuma gitu aja demo sampai ngerusak fasilitas umum, bangsat para pendemo anarkis.",AgKEvHfdUpQ
@zulkarnaini8135,2020-10-10T10:46:23Z,2020-10-10T10:46:23Z,0,"Di tangerang karyawan kontrak ada yg lebih 12 tahun lebih tidak diangkat angkat, pemerintah tutup mata",AgKEvHfdUpQ
@subagio79satrio32,2020-10-10T10:34:32Z,2020-10-10T10:34:32Z,31,"Sy buruh tp nggak bego2 amat, semua informasi yg ada tetap di saring benar tdknya. Jgn baca sosmed yg isinya sekilas yg akhirnya timbulkan kericuhan.",AgKEvHfdUpQ
@dbenjozn7011,2020-10-10T09:49:23Z,2020-10-10T09:49:23Z,0,Percuma menjelaskan ini tanpa ada pembanding uud ciptaker nya.,AgKEvHfdUpQ
@nicoandreassimanungkalit319,2020-10-10T09:32:51Z,2020-10-10T09:32:51Z,0,"Ini berita didalamnya masih banyak hoax nya, baca lagi ya mbak draf final 5 okt 2020",AgKEvHfdUpQ
@keraslunak7044,2020-10-10T09:15:01Z,2020-10-10T09:15:01Z,0,ya ampun!,AgKEvHfdUpQ
@bandawakids,2020-10-10T09:04:54Z,2020-10-10T09:04:54Z,2,"BEDAH PERUBAHAN (yg artinya sebelumnya tidak seperti itu)
Banyak yg gak ngerti apa itu PERUBAHAN,  ngatain orang lain bodoh lagi🤦",AgKEvHfdUpQ
@alpacino6799,2020-10-10T08:49:25Z,2020-10-10T08:49:25Z,0,"Udah ga usah bahas uu omnibuslaw, ga ada manfaatnya, copot aja jokowi yg mau obral indonesia ke investor aseng!!!",AgKEvHfdUpQ
@budidewa1433,2020-10-10T07:43:35Z,2020-10-10T07:43:35Z,0,"maka nya klo mengesahkan sesuatu harus transparan dan harus detil..jgn sesudah massa demo baru mau transparan..klo sdh begini baru klarifikasi,,apa hendak di kata..",AgKEvHfdUpQ
@boimboim2494,2020-10-10T07:38:53Z,2020-10-10T07:38:53Z,1,Enak amat ya...yg kontrak lebih di lindungi...,AgKEvHfdUpQ
@safemode5347,2020-10-10T07:33:20Z,2020-10-10T07:33:20Z,1,Ada yg tau ig mbaknya,AgKEvHfdUpQ
@propertidki8854,2020-10-10T07:06:41Z,2020-10-10T07:06:41Z,2,"KAMI Mohon Yaa Allah Yg Maha Kuasa, Hukumlah & Hinakanlah pemimpin2 / penguasa Yg Sangat Tidak Amanah, Penghianat yg Kerjanya Cuma Memperkaya Diri sendiri, Keluarganya, Kelompoknya, partainya, dan Menyengsarakan Rakyat, Melanggar UUD 45 dan Pancasila , Dan Hukumlah aparat yg Memperlakukan Demonstran dg Brutal & Beringas...!!!",AgKEvHfdUpQ
@bayuivani9446,2020-10-10T06:52:36Z,2020-10-10T06:52:36Z,0,"Bulshitttt..... Sdng kan UU yg lama aja msh bnyk yg gk dijlnkan sesuai UU lama, malah diluncurkan lgi UU baru,... Klau emnk UU omnibuslow itu bgus gk sembunyi sembunyi dan tengah mlm jga ngesahkannya... Salut sama org org yg mendukung pemerintahaan saat ini, dasarrrr Guuuuuooobbuulluuookkk.",AgKEvHfdUpQ
@titinmartini2942,2020-10-10T06:48:01Z,2020-10-10T06:48:01Z,0,"TKA lagi,,,,, padahal di negri sendiri aja sebeludeg pengangguran",AgKEvHfdUpQ
@zonekoeyzone8769,2020-10-10T06:41:45Z,2020-10-10T06:41:45Z,1,"Tapi msih bnyak perusahaan"" nakal yg tidak mengikuti peraturan pemerintah pusat,,, dan parah'y lgi perusahaan"" trsebut di lindungi oleh depnaker karena ada duit pelicin,,, sidakpun jadi tak berfungsi karena duit pelicin trsebut",AgKEvHfdUpQ
@KENTASLM,2020-10-10T06:06:11Z,2020-10-10T06:06:11Z,3,"10:52
Disitu diberitakan masa kerja 21 tahun keatas  8 bulan upah
Yg saya baca kok masih tetep untuk 24 tahun 10 bulan upah. Ini yg beda sumbernya atau pemberitaannya. Bisa beri link sumbernya untuk kita baca bersama. Tx",AgKEvHfdUpQ
@deriantodinulakbar8462,2020-10-10T05:01:08Z,2020-10-10T05:01:08Z,2,"Nah, peraturan presiden nya ini pasti enggak?? Apa berubah-ubah?? Yg udah-udah gimana??😂",AgKEvHfdUpQ
@deriantodinulakbar8462,2020-10-10T04:59:59Z,2020-10-10T04:59:59Z,1,"Nah, peraturan presiden nya ini pasti enggak?? Apa berubah-ubah?? Yg udah-udah gimana??😂",AgKEvHfdUpQ
@pejuangnkri3974,2020-10-10T04:22:58Z,2020-10-10T04:22:58Z,1,"DPR aneh sudah ribut baru sosialisasi, buruh juga oon, demo dulu baru berfikir",AgKEvHfdUpQ
@ojekchindo,2020-10-10T04:08:27Z,2020-10-10T04:08:27Z,2,"YG SAYA MAU BILANG KALO ""MAU KAYA JAN JADI BURUH""😂 IZAJAH SD SMP GAJI MAU KYK DIREKTUR😂 BANYAK ORANG G DAPAT KERJA DAN GAJINYA DIBAWAH 600 RIBU,KALO KEK GINIKAN MAKIN BANYAK YG GAJINYA UMP",AgKEvHfdUpQ
@Maulana4745,2020-10-10T03:39:25Z,2020-10-10T03:39:25Z,1,"7:38 ""pasal yang tidak diubah tidak dituliskan lagi di pasal yang baru"" mbak, jika sebuah pasal tidak ditulis itu berarti pasalnya dihapus dan dihilangkan, mana ada PERATURAN TERTULIS TAPI ATURANNYA TIDAK DITULIS",AgKEvHfdUpQ
@charxiaomi2cita755,2020-10-10T03:36:58Z,2020-10-10T03:36:58Z,0,"Dah bosen diam d rmh...gr2 Covid...GK ada mskkan ..dah lama tresss
Demo dpt jln2..dpt duit..dpt mkn...enk...",AgKEvHfdUpQ
@hendrayanto6435,2020-10-10T03:25:02Z,2020-10-10T03:25:02Z,0,WALAH WALAH ....YA NDOK NDOK DRAFNYA BELUM DIKELUARKAN.DATA SILUMAN INI,AgKEvHfdUpQ
@gunawanli6245,2020-10-10T03:13:47Z,2020-10-10T03:13:47Z,0,"Harus pas sidang kmren 
Mba ini harus  ikut ke DPR",AgKEvHfdUpQ
@limitedstk2770,2020-10-10T03:09:01Z,2020-10-10T03:09:01Z,0,"mau nanya nih bro sis sekalian, ini kejadian di saya pribadi, dimana masa kontrak kerja saya habis dan saya tidak ingin memperpanjang dikarenakan upah yang diterima pada masa kerja satu tahun sebelumnya mau dikurangi, yanh akhirnya saya memutuskan untuk tidak ingin melanjutkan hubungan kerja dengan perush tsb, nah yang ingin saya tanyakan mengenai kelebihan hari kerja pada masa kontrak yang belum berakhir, apakah itu masih menjadi hak saya dan wajid dibayarkan oleh perusahaan? karena setahu saya IYA dan harus dibayarkan, tetapi perush tsb tidak membayarkan hak saya, apakah ada undang2nya yang mengatur hal tsb?",AgKEvHfdUpQ
@cacingtanah6700,2020-10-10T03:03:58Z,2020-10-10T03:03:58Z,44,Jgnkan baca UU setebal 900 halaman. Pintu minimarket tertulis “TARIK” ajah tetep didorong,AgKEvHfdUpQ
@jokowedus8861,2020-10-10T02:38:22Z,2020-10-10T02:38:22Z,0,"Presiden gak berguna corana saja dah bikin indonesi krisis, Ni mau loncat kaya cicak mau nguntal buaya",AgKEvHfdUpQ
@andystadetorreso7255,2020-10-10T02:35:24Z,2020-10-10T02:35:24Z,1,"Ciri khas aturan Indonesia, perlu peraturan pemerintah... Jadi kalau mau protes ya nunggu aturannya jadi semua...",AgKEvHfdUpQ
@cestlavie2522,2020-10-10T02:28:38Z,2020-10-10T02:28:38Z,2,"Setelah mendengar pnjelasan dr Bpk mahfud ternyata pemerintah sudah sempat beberapakali memanggil pihak2 terkait utk berkomunikasi ,diskusi dan sosialisasi mngenai UU tsb.

mnurut saya sudah saat nya pemerintah mulai memiliki terobosan / strategy komunikasi tambahan yg lbh efektive & efficient yg bsa di akses langsung oleh masyrakat. ( pemangkasan birokrasi komunikasi)

hal ini sngat memungkinkan dgn memanfaatkan perkembangan teknologi digital shingga memperkecil peluang oknum2 tententu utk meprovokasi atau mempolitisasi keadaan. 

Pemerintah bisa menyediakan konten yg valid dan mudah di cerna oleh masyrakat mengenai pembahasan & pemahaman sebenar nya ttg uu tsb (video,article, etc) sebelum di sah kan.

Utk di publish di official website/ digital platform semua instansi pemerintah & swasta terkait, utk mengedukasi masyrakat,contoh:
- Digital platform (website/IG /youtube resmi stiap kementrian terkait,pemprov,perusahaaan/pabrik, koperasi karyawan/ umkm dll)


Pemerintah juga bsa melibatkan pihak2 lain yg memilikin digital apps yg banyak di gunakan oleh masyrakat pada umum nya dan pekerja pada khusus nya , contoh:
- digital apps (prakerja,gojek,grab,bpjs ketenagakerjaan , ruang guru, dll)

#Bersatu kita teguh bercerai kita runtuh ❤️
#Indonesia Maju 🇮🇩",AgKEvHfdUpQ
@chan-4l173,2020-10-10T02:27:38Z,2020-10-10T02:27:38Z,0,"Seharusnya sebelumnya di infokan ke Masyarakat, Supaya tidak Gagal Paham..",AgKEvHfdUpQ
@AtikResmi,2020-10-10T02:26:58Z,2020-10-10T02:26:58Z,0,Ngomong Opi si,AgKEvHfdUpQ
@fitriani9589,2020-10-10T02:12:05Z,2020-10-10T02:12:05Z,0,Mantap mbak,AgKEvHfdUpQ
@meimei209,2020-10-10T02:11:00Z,2020-10-10T02:11:00Z,0,Klu di demo bilang aja salah ketik,AgKEvHfdUpQ
@dahnialamsyah4731,2020-10-10T02:01:50Z,2020-10-10T02:01:50Z,0,Kata mardigu nunggu kebaikan pengusaha,AgKEvHfdUpQ
@naftalibennet5939,2020-10-10T02:01:07Z,2020-10-10T02:01:07Z,0,"DIALOG DIMANA-MANA, DI JALAN, DI TV-TV SANGAT MEMBOSANKAN DI ERA PANDEMI...MEREKA PIKIR DENGAN DIALOG BISA DISELESAIKAN ??? BAHKAN YANG BERHARAP DIALOG DI AREA DEMO (BURUH, MAHASISWA & DENGAN PENGAMAT-PENGAMAT YANG DI UNDANG DI TV YANG AKHIRNYA JADI KOMPOR) TERLALU SEDIKIT DARI PADA YANG INGIN RUSUH, YANG INGIN BANGKIT DARI PUING-PUING KEHANCURAN.... ENGGAK PERCAYA ??? (BUKTINYA TERBAKAR) !!",AgKEvHfdUpQ
